station_code,station_name,lat,lon,source,comment
BP1,Choa Chu Kang,1.3851254680366532,103.74434408893133,ura,
BP2,South View,1.380298286261839,103.74529179982976,ura,
BP3,Keat Hong,1.3786121668142508,103.74905150388537,ura,
BP4,Teck Whye,1.3766592934552422,103.75369963153,ura,
BP5,Phoenix,1.3786249492919498,103.75803362307677,ura,
BP6,Bukit Panjang,1.378485469375234,103.76235265975984,ura,
BP7,Petir,1.3777549868542922,103.76666727587175,ura,
BP8,Pending,1.3761265381792571,103.7712797503296,ura,
BP9,Bangkit,1.3800154942226468,103.77266121907934,ura,
BP10,Fajar,1.3845326784759364,103.77083795595894,ura,
BP11,Segar,1.387756408019682,103.76965965382928,ura,
BP12,Jelapang,1.3866966768351228,103.7645005796885,ura,
BP13,Senja,1.3826992425630433,103.76236875414202,ura,
CC1,Dhoby Ghaut,1.2991489615370466,103.8458117190266,ura,
CC2,Bras Basah,1.2968300501137628,103.85065880858372,ura,
CC3,Esplanade,1.2932723026397464,103.85561426886412,ura,
CC4,Promenade,1.293143901003921,103.86094756856582,ura,
CC5,Nicoll Highway,1.299802829852342,103.86363313784665,ura,
CC6,Stadium,1.3028540998999254,103.87534796400688,ura,
CC7,Mountbatten,1.306193786928982,103.8825470150979,ura,
CC8,Dakota,1.3083751546374272,103.88866829951886,ura,
CC9,Paya Lebar,1.3177432141186658,103.89267068880001,ura,
CC10,MacPherson,1.3262293288956457,103.8898166121914,ura,
CC11,Tai Seng,1.3354531033466337,103.88816447575532,ura,
CC12,Bartley,1.3428468439645,103.87972518719033,ura,
CC13,Serangoon,1.3500741477714449,103.87304885351502,ura,
CC14,Lorong Chuan,1.3516197558599472,103.86414412658448,ura,
CC15,Bishan,1.3510484822751936,103.84868243429734,ura,
CC16,Marymount,1.3487780553384583,103.8394101808655,ura,
CC17,Caldecott,1.3375387677791497,103.83986538570805,ura,
CC19,Botanic Gardens,1.3222556032290131,103.81561860443068,ura,
CC20,Farrer Road,1.3174545708323449,103.80748912456241,ura,
CC21,Holland Village,1.3119456175150919,103.79623333601177,ura,
CC22,Buona Vista,1.3068710122280809,103.79028747130236,ura,
CC23,one-north,1.2996514573113378,103.78739137925261,ura,
CC24,Kent Ridge,1.2934009381438487,103.78449793835178,ura,
CC25,Haw Par Villa,1.2825029022300132,103.78182132863023,ura,
CC26,Pasir Panjang,1.2762296702371938,103.79134196573705,ura,
CC27,Labrador Park,1.2723234942957917,103.80292770476869,ura,
CC28,Telok Blangah,1.2705817890107285,103.809739740652,ura,
CC29,HarbourFront,1.265310691626473,103.82150740808491,ura,
CE1,Bayfront,1.2818722431382803,103.85907514177777,ura,
CE2,Marina Bay,1.2758094294533002,103.85498166544687,ura,
CG1,Expo,1.3348980488177347,103.96196341596709,ura,
CG2,Changi Airport,1.3573189576183131,103.98834814909442,ura,
DT1,Bukit Panjang,1.378485469375234,103.76235265975984,ura,
DT2,Cashew,1.3693663697456693,103.76469934064848,ura,
DT3,Hillview,1.362336809808497,103.76742281566246,ura,
DT4,Hume,1.3545108355374271,103.76910392897064,ura,
DT5,Beauty World,1.3412269612555616,103.77579158431996,ura,
DT6,King Albert Park,1.3347417534979744,103.78308418937229,ura,
DT7,Sixth Avenue,1.330801546139581,103.79726347741008,ura,
DT8,Tan Kah Kee,1.3258724508086044,103.80733103974738,ura,
DT9,Botanic Gardens,1.3222556032290131,103.81561860443068,ura,
DT10,Stevens,1.3199006799927198,103.82583341635527,ura,
DT11,Newton,1.3129117966563681,103.83803477211077,ura,
